rank,strategy,total,wins,losses
1,tft,2323,0,3
2,all_c,2187,0,5
3,grudger,1419,1,1
4,suspicious_tft,1268,3,0
5,all_d,1164,6,0
6,joss,1020,3,1
7,soft_majo,841,1,0
8,tester,805,2,0
9,random,440,1,0
10,pavlov,300,0,0

strategy,opponent,my_score,their_score
tft,all_c,300,300
tft,all_d,99,104
tft,suspicious_tft,250,250
tft,grudger,300,300
tft,joss,175,180
tft,tester,99,104
tft,soft_majo,300,300
tft,random,200,200
tft,pavlov,300,300
tft,tft,300,300
all_c,all_d,0,500
all_c,suspicious_tft,297,302
all_c,grudger,300,300
all_c,joss,285,310
all_c,tester,294,304
all_c,soft_majo,300,300
all_c,random,111,426
all_c,pavlov,300,300
all_c,all_c,300,300
all_d,suspicious_tft,100,100
all_d,grudger,104,99
all_d,joss,104,99
all_d,tester,104,99
all_d,soft_majo,104,99
all_d,random,248,63
all_d,pavlov,300,50
all_d,all_d,100,100
suspicious_tft,grudger,103,103
suspicious_tft,joss,160,160
suspicious_tft,tester,251,246
suspicious_tft,soft_majo,250,250
suspicious_tft,random,201,196
suspicious_tft,pavlov,203,198
suspicious_tft,suspicious_tft,100,100
grudger,joss,173,173
grudger,tester,99,104
grudger,soft_majo,300,300
grudger,random,247,67
grudger,pavlov,300,300
grudger,grudger,300,300
joss,tester,99,104
joss,soft_majo,310,285
joss,random,204,194
joss,pavlov,237,232
joss,joss,170,170
tester,soft_majo,104,99
tester,random,200,200
tester,pavlov,203,198
tester,tester,298,298
soft_majo,random,241,86
soft_majo,pavlov,300,300
soft_majo,soft_majo,300,300
random,pavlov,266,166
random,random,174,174
pavlov,pavlov,300,300
